Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US13740,13740,"Billings, MT Metro Area",158934,158934,166885
310M200US13780,13780,"Binghamton, NY Metro Area",251725,251725,247219
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",1128047,1128056,1143772
310M200US13900,13900,"Bismarck, ND Metro Area",114778,114778,126597
310M200US13940,13940,"Blackfoot, ID Micro Area",45607,45607,45269
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",178237,178254,181605
310M200US14010,14010,"Bloomington, IL Metro Area",186133,186133,190345
310M200US14020,14020,"Bloomington, IN Metro Area",159549,159542,164308
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",85562,85563,85763
310M200US14140,14140,"Bluefield, WV-VA Micro Area",107342,107344,105237
310M200US14180,14180,"Blytheville, AR Micro Area",46480,46480,44235
310M200US14220,14220,"Bogalusa, LA Micro Area",47168,47171,46286
310M200US14260,14260,"Boise City, ID Metro Area",616561,616561,664422
310M200US14340,14340,"Boone, IA Micro Area",26306,26306,26433
310M200US14380,14380,"Boone, NC Micro Area",51079,51079,52560
310M200US14420,14420,"Borger, TX Micro Area",22150,22249,21773
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4552402,4552412,4732161
310M200US14500,14500,"Boulder, CO Metro Area",294567,294571,313333
310M200US14540,14540,"Bowling Green, KY Metro Area",158599,158599,165732
310M200US14580,14580,"Bozeman, MT Micro Area",89513,89510,97308
310M200US14620,14620,"Bradford, PA Micro Area",43450,43450,42554
310M200US14660,14660,"Brainerd, MN Micro Area",91067,91067,91824
310M200US14700,14700,"Branson, MO Micro Area",83877,83877,85334
310M200US14720,14720,"Breckenridge, CO Micro Area",27994,27994,29404
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",251133,251133,254183
310M200US14780,14780,"Brenham, TX Micro Area",33718,33708,34438
310M200US14820,14820,"Brevard, NC Micro Area",33090,33090,33045
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",916829,916828,945438
310M200US15020,15020,"Brookhaven, MS Micro Area",34869,34869,34775
310M200US15060,15060,"Brookings, OR Micro Area",22364,22364,22335
310M200US15100,15100,"Brookings, SD Micro Area",31965,31965,33314
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",406220,406220,420392
310M200US15220,15220,"Brownwood, TX Micro Area",38106,38106,37653
310M200US15260,15260,"Brunswick, GA Metro Area",112370,112368,114806
310M200US15340,15340,"Bucyrus, OH Micro Area",43784,43784,42480
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135509,1135541,1136360
310M200US15420,15420,"Burley, ID Micro Area",43021,43021,43863
310M200US15460,15460,"Burlington, IA-IL Micro Area",47656,47653,47171
310M200US15500,15500,"Burlington, NC Metro Area",151131,151241,155792
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",211261,211262,216167
310M200US15580,15580,"Butte-Silver Bow, MT Micro Area",34200,34204,34680
310M200US15620,15620,"Cadillac, MI Micro Area",47584,47584,47923
310M200US15660,15660,"Calhoun, GA Micro Area",55186,55186,56047
310M200US15680,15680,"California-Lexington Park, MD Metro Area",105151,105151,110382
310M200US15700,15700,"Cambridge, MD Micro Area",32618,32618,32578
310M200US15740,15740,"Cambridge, OH Micro Area",40087,40087,39590
310M200US15780,15780,"Camden, AR Micro Area",31488,31489,30030
310M200US15820,15820,"Campbellsville, KY Micro Area",24512,24512,25257
310M200US15860,15860,"Cañon City, CO Micro Area",46824,46824,46502
310M200US15900,15900,"Canton, IL Micro Area",37069,37069,36007
310M200US15940,15940,"Canton-Massillon, OH Metro Area",404422,404420,403923
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,679513
310M200US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,97929
310M200US16060,16060,"Carbondale-Marion, IL Metro Area",126575,126580,126685
310M200US16100,16100,"Carlsbad-Artesia, NM Micro Area",53829,53829,56395
310M200US16180,16180,"Carson City, NV Metro Area",55274,55274,54522
310M200US16220,16220,"Casper, WY Metro Area",75450,75450,81624
310M200US16260,16260,"Cedar City, UT Micro Area",46163,46163,47269
310M200US16300,16300,"Cedar Rapids, IA Metro Area",257940,257940,263885
310M200US16340,16340,"Cedartown, GA Micro Area",41475,41475,41133
310M200US16380,16380,"Celina, OH Micro Area",40814,40814,40831
310M200US16460,16460,"Centralia, IL Micro Area",39437,39437,38571
310M200US16500,16500,"Centralia, WA Micro Area",75455,75455,75128
310M200US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,152892
310M200US16580,16580,"Champaign-Urbana, IL Metro Area",231891,231889,237252
310M200US16620,16620,"Charleston, WV Metro Area",227078,227071,222878
310M200US16660,16660,"Charleston-Mattoon, IL Micro Area",64921,64921,64153
310M200US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,664643,727689
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2217248,2380314
310M200US16820,16820,"Charlottesville, VA Metro Area",218705,218710,226968
310M200US16860,16860,"Chattanooga, TN-GA Metro Area",528143,528145,544559
310M200US16940,16940,"Cheyenne, WY Metro Area",91738,91881,96389
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461537,9554598
310M200US17020,17020,"Chico, CA Metro Area",220000,220000,224241
310M200US17060,17060,"Chillicothe, OH Micro Area",78064,78064,77159
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2114755,2149449
310M200US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",218466,218458,217634
310M200US17220,17220,"Clarksburg, WV Micro Area",94196,94196,94221
310M200US17260,17260,"Clarksdale, MS Micro Area",26151,26151,24807
310M200US17300,17300,"Clarksville, TN-KY Metro Area",260625,260610,278353
310M200US17340,17340,"Clearlake, CA Micro Area",64665,64665,64184
310M200US17380,17380,"Cleveland, MS Micro Area",34145,34147,33768
310M200US17420,17420,"Cleveland, TN Metro Area",115788,115788,119705
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",2077240,2077246,2063598
310M200US17500,17500,"Clewiston, FL Micro Area",39140,39140,38505
310M200US17540,17540,"Clinton, IA Micro Area",49116,49116,48051
310M200US17580,17580,"Clovis, NM Micro Area",48376,48376,50969
310M200US17620,17620,"Coamo, PR Micro Area",40512,40512,40331
310M200US17640,17640,"Coco, PR Micro Area",31078,31078,29881
310M200US17660,17660,"Coeur d'Alene, ID Metro Area",138494,138494,147326
310M200US17700,17700,"Coffeyville, KS Micro Area",35471,35471,34065
310M200US17740,17740,"Coldwater, MI Micro Area",45248,45248,43545
310M200US17780,17780,"College Station-Bryan, TX Metro Area",228660,228660,242905
310M200US17820,17820,"Colorado Springs, CO Metro Area",645613,645611,686908
310M200US17860,17860,"Columbia, MO Metro Area",162642,162642,172717
310M200US17900,17900,"Columbia, SC Metro Area",767598,767477,800495
310M200US17980,17980,"Columbus, GA-AL Metro Area",294865,295529,314005
310M200US18020,18020,"Columbus, IN Metro Area",76794,76786,80217
310M200US18060,18060,"Columbus, MS Micro Area",59779,59779,59730
310M200US18100,18100,"Columbus, NE Micro Area",32237,32237,32666
310M200US18140,18140,"Columbus, OH Metro Area",1901974,1902015,1994536
310M200US18180,18180,"Concord, NH Micro Area",146445,146442,147171
310M200US18220,18220,"Connersville, IN Micro Area",24277,24302,23468
310M200US18260,18260,"Cookeville, TN Micro Area",106042,106050,107761
310M200US18300,18300,"Coos Bay, OR Micro Area",63043,63043,62475
310M200US18380,18380,"Cordele, GA Micro Area",23439,23439,22934
310M200US18420,18420,"Corinth, MS Micro Area",37057,37057,37380
310M200US18460,18460,"Cornelia, GA Micro Area",43041,43041,43752
310M200US18500,18500,"Corning, NY Micro Area",98990,98988,98394
310M200US18580,18580,"Corpus Christi, TX Metro Area",428185,428188,448108
310M200US18620,18620,"Corsicana, TX Micro Area",47735,47831,48195
310M200US18660,18660,"Cortland, NY Micro Area",49336,49303,49024
310M200US18700,18700,"Corvallis, OR Metro Area",85579,85581,86316
310M200US18740,18740,"Coshocton, OH Micro Area",36901,36901,36516
310M200US18780,18780,"Craig, CO Micro Area",13795,13795,12928
310M200US18820,18820,"Crawfordsville, IN Micro Area",38124,38126,38146
310M200US18860,18860,"Crescent City, CA Micro Area",28610,28610,27212
310M200US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,258042
310M200US18900,18900,"Crossville, TN Micro Area",56053,56053,57985
310M200US18980,18980,"Cullman, AL Micro Area",80406,80410,81289
310M200US19000,19000,"Cullowhee, NC Micro Area",40271,40271,40981
310M200US19060,19060,"Cumberland, MD-WV Metro Area",103299,103299,100530
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426210,6954330
310M200US19140,19140,"Dalton, GA Metro Area",142227,142227,142952
310M200US19180,19180,"Danville, IL Metro Area",81625,81625,79728
310M200US19220,19220,"Danville, KY Micro Area",53174,53174,54151
310M200US19260,19260,"Danville, VA Micro Area",106561,106558,104827
310M200US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,182265,200111
310M200US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,383030
310M200US19380,19380,"Dayton, OH Metro Area",799232,799216,800836
310M200US19420,19420,"Dayton, TN Micro Area",31809,31809,32641
310M200US19460,19460,"Decatur, AL Metro Area",153829,153825,153084
310M200US19500,19500,"Decatur, IL Metro Area",110768,110768,108350
310M200US19540,19540,"Decatur, IN Micro Area",34387,34387,34791
310M200US19580,19580,"Defiance, OH Micro Area",39037,39035,38510
310M200US19620,19620,"Del Rio, TX Micro Area",48879,48879,48974
310M200US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590293,609939
310M200US19700,19700,"Deming, NM Micro Area",25095,25095,24673
310M200US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2543482,2543594,2754258
310M200US19760,19760,"DeRidder, LA Micro Area",35654,35654,36198
310M200US19780,19780,"Des Moines-West Des Moines, IA Metro Area",569633,569633,611549
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4296250,4296313,4296611
310M200US19860,19860,"Dickinson, ND Micro Area",24199,24199,30372
310M200US19940,19940,"Dixon, IL Micro Area",36031,36031,34735
310M200US19980,19980,"Dodge City, KS Micro Area",33848,33848,34795
310M200US20020,20020,"Dothan, AL Metro Area",145639,145639,148095
310M200US20060,20060,"Douglas, GA Micro Area",42356,42356,42811
310M200US20100,20100,"Dover, DE Metro Area",162310,162344,171987
310M200US20140,20140,"Dublin, GA Micro Area",58414,58418,57552
310M200US20180,20180,"DuBois, PA Micro Area",81642,81644,81191
310M200US20220,20220,"Dubuque, IA Metro Area",93653,93653,96370
310M200US20260,20260,"Duluth, MN-WI Metro Area",279771,279771,280218
310M200US20300,20300,"Dumas, TX Micro Area",21904,21904,22148
310M200US20340,20340,"Duncan, OK Micro Area",45048,45048,44493
310M200US20380,20380,"Dunn, NC Micro Area",114678,114678,126666
310M200US20420,20420,"Durango, CO Micro Area",51334,51334,53989
310M200US20460,20460,"Durant, OK Micro Area",42416,42416,44486
310M200US20500,20500,"Durham-Chapel Hill, NC Metro Area",504357,506634,542710
310M200US20540,20540,"Dyersburg, TN Micro Area",38335,38337,37935
310M200US20580,20580,"Eagle Pass, TX Micro Area",54258,54258,57023
310M200US20660,20660,"Easton, MD Micro Area",37782,37782,37643
310M200US20700,20700,"East Stroudsburg, PA Metro Area",169842,169842,166314
310M200US20740,20740,"Eau Claire, WI Metro Area",161151,161390,165024
310M200US20780,20780,"Edwards, CO Micro Area",52197,52197,52921
310M200US20820,20820,"Effingham, IL Micro Area",34242,34242,34320
310M200US20900,20900,"El Campo, TX Micro Area",41280,41280,41168
310M200US20940,20940,"El Centro, CA Metro Area",174528,174528,179091
310M200US20980,20980,"El Dorado, AR Micro Area",41639,41639,40227
310M200US21020,21020,"Elizabeth City, NC Micro Area",64094,64094,63584
310M200US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",148338,148339,151585
310M200US21120,21120,"Elk City, OK Micro Area",22119,22119,23691
310M200US21140,21140,"Elkhart-Goshen, IN Metro Area",197559,197561,201971
310M200US21180,21180,"Elkins, WV Micro Area",29405,29405,29429
310M200US21220,21220,"Elko, NV Micro Area",50805,50929,54784
310M200US21260,21260,"Ellensburg, WA Micro Area",40915,40909,42522
310M200US21300,21300,"Elmira, NY Metro Area",88830,88830,87770
310M200US21340,21340,"El Paso, TX Metro Area",804123,804123,836698
310M200US21380,21380,"Emporia, KS Micro Area",33690,33690,33212
310M200US21420,21420,"Enid, OK Micro Area",60580,60580,63091
310M200US21460,21460,"Enterprise, AL Micro Area",49948,49948,50909
310M200US21500,21500,"Erie, PA Metro Area",280566,280566,278443
310M200US21540,21540,"Escanaba, MI Micro Area",37069,37069,36559
310M200US21580,21580,"Española, NM Micro Area",40246,40247,39777
310M200US21660,21660,"Eugene, OR Metro Area",351715,351715,358337
310M200US21700,21700,"Eureka-Arcata-Fortuna, CA Micro Area",134623,134623,134809
310M200US21740,21740,"Evanston, WY Micro Area",21118,21118,20904
310M200US21780,21780,"Evansville, IN-KY Metro Area",311552,311552,315162
310M200US21820,21820,"Fairbanks, AK Metro Area",97581,97581,99357
310M200US21840,21840,"Fairfield, IA Micro Area",16843,16843,17325
310M200US21900,21900,"Fairmont, WV Micro Area",56418,56418,56803
310M200US21980,21980,"Fallon, NV Micro Area",24877,24877,23989
310M200US22020,22020,"Fargo, ND-MN Metro Area",208777,208777,228291
310M200US22060,22060,"Faribault-Northfield, MN Micro Area",64142,64144,65151
310M200US22100,22100,"Farmington, MO Micro Area",65359,65364,65960
310M200US22140,22140,"Farmington, NM Metro Area",130044,130045,123785
310M200US22180,22180,"Fayetteville, NC Metro Area",366383,366383,377939
310M200US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463207,501653
310M200US22260,22260,"Fergus Falls, MN Micro Area",57303,57303,57635
310M200US22280,22280,"Fernley, NV Micro Area",51980,51980,51789
310M200US22300,22300,"Findlay, OH Micro Area",74782,74782,75337
310M200US22340,22340,"Fitzgerald, GA Micro Area",17634,17634,17464
310M200US22380,22380,"Flagstaff, AZ Metro Area",134421,134437,137682
310M200US22420,22420,"Flint, MI Metro Area",425790,425790,412895
310M200US22500,22500,"Florence, SC Metro Area",205566,205571,207030
310M200US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147137,147137,147639
310M200US22540,22540,"Fond du Lac, WI Metro Area",101633,101633,101759
310M200US22580,22580,"Forest City, NC Micro Area",67810,67809,66600
310M200US22620,22620,"Forrest City, AR Micro Area",28258,28258,26899
310M200US22660,22660,"Fort Collins, CO Metro Area",299630,299630,324122
310M200US22700,22700,"Fort Dodge, IA Micro Area",38013,38013,36955
310M200US22780,22780,"Fort Leonard Wood, MO Micro Area",52274,52274,53436
310M200US22800,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",62105,62105,60767
310M200US22820,22820,"Fort Morgan, CO Micro Area",28159,28159,28328
310M200US22860,22860,"Fort Polk South, LA Micro Area",52334,52334,52132
310M200US22900,22900,"Fort Smith, AR-OK Metro Area",280467,280515,279592
310M200US23060,23060,"Fort Wayne, IN Metro Area",416257,416255,427183
310M200US23140,23140,"Frankfort, IN Micro Area",33224,33224,32776
310M200US23180,23180,"Frankfort, KY Micro Area",70706,70706,71768
310M200US23240,23240,"Fredericksburg, TX Micro Area",24837,24837,25520
310M200US23300,23300,"Freeport, IL Micro Area",47711,47711,46435
310M200US23340,23340,"Fremont, NE Micro Area",36691,36691,36744
310M200US23380,23380,"Fremont, OH Micro Area",60944,60944,60179
310M200US23420,23420,"Fresno, CA Metro Area",930450,930452,965974
310M200US23460,23460,"Gadsden, AL Metro Area",104430,104427,103531
310M200US23500,23500,"Gaffney, SC Micro Area",55342,55467,56024
310M200US23540,23540,"Gainesville, FL Metro Area",264275,264274,273377
310M200US23580,23580,"Gainesville, GA Metro Area",179684,179684,190761
310M200US23620,23620,"Gainesville, TX Micro Area",38437,38437,38761
310M200US23660,23660,"Galesburg, IL Micro Area",52919,52919,52069
310M200US23700,23700,"Gallup, NM Micro Area",71492,71491,74098
310M200US23780,23780,"Garden City, KS Micro Area",40753,40753,41099
310M200US23820,23820,"Gardnerville Ranchos, NV Micro Area",46997,46997,47536
310M200US23860,23860,"Georgetown, SC Micro Area",60158,60158,60773
310M200US23900,23900,"Gettysburg, PA Metro Area",101407,101413,101714
310M200US23940,23940,"Gillette, WY Micro Area",46133,46133,48320
310M200US23980,23980,"Glasgow, KY Micro Area",52272,52272,53138
310M200US24020,24020,"Glens Falls, NY Metro Area",128923,128921,127345
310M200US24060,24060,"Glenwood Springs, CO Micro Area",73537,73537,75087
310M200US24100,24100,"Gloversville, NY Micro Area",55531,55531,54105
310M200US24140,24140,"Goldsboro, NC Metro Area",122623,122623,124456
310M200US24220,24220,"Grand Forks, ND-MN Metro Area",98461,98461,101842
310M200US24260,24260,"Grand Island, NE Metro Area",81850,81850,84755
310M200US24300,24300,"Grand Junction, CO Metro Area",146723,146723,148255
310M200US24340,24340,"Grand Rapids-Wyoming, MI Metro Area",988938,988940,1027703
310M200US24380,24380,"Grants, NM Micro Area",27213,27213,27349
310M200US24420,24420,"Grants Pass, OR Metro Area",82713,82713,83599
310M200US24460,24460,"Great Bend, KS Micro Area",27674,27674,27385
310M200US24500,24500,"Great Falls, MT Metro Area",81327,81327,82344
310M200US24540,24540,"Greeley, CO Metro Area",252825,252837,277670
310M200US24580,24580,"Green Bay, WI Metro Area",306241,306241,314531
310M200US24620,24620,"Greeneville, TN Micro Area",68831,68831,68335
310M200US24640,24640,"Greenfield Town, MA Micro Area",71372,71372,70862
310M200US24660,24660,"Greensboro-High Point, NC Metro Area",723801,723798,746593
310M200US24700,24700,"Greensburg, IN Micro Area",25740,25740,26524
310M200US24740,24740,"Greenville, MS Micro Area",51137,51135,48958
310M200US24780,24780,"Greenville, NC Metro Area",168148,168148,175354
310M200US24820,24820,"Greenville, OH Micro Area",52959,52959,52196
310M200US24860,24860,"Greenville-Anderson-Mauldin, SC Metro Area",824112,824107,862463
310M200US24900,24900,"Greenwood, MS Micro Area",42914,42914,41676
310M200US24940,24940,"Greenwood, SC Micro Area",95078,95077,94485
310M200US24980,24980,"Grenada, MS Micro Area",21906,21906,21666
310M200US25020,25020,"Guayama, PR Metro Area",84214,84214,80581
310M200US25060,25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",370702,370787,386144
310M200US25100,25100,"Guymon, OK Micro Area",20640,20640,21853
310M200US25180,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",251599,251602,260070
310M200US25200,25200,"Hailey, ID Micro Area",27701,27701,27837
310M200US25220,25220,"Hammond, LA Metro Area",121097,121101,127049
310M200US25260,25260,"Hanford-Corcoran, CA Metro Area",152982,152982,150269
310M200US25300,25300,"Hannibal, MO Micro Area",38948,38948,39175
310M200US25420,25420,"Harrisburg-Carlisle, PA Metro Area",549475,549473,560849
310M200US25460,25460,"Harrison, AR Micro Area",45233,45233,45100
310M200US25500,25500,"Harrisonburg, VA Metro Area",125228,125217,130649
310M200US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1212381,1212387,1214295
310M200US25580,25580,"Hastings, NE Micro Area",31364,31364,31457
310M200US25620,25620,"Hattiesburg, MS Metro Area",142842,142857,148656
310M200US25700,25700,"Hays, KS Micro Area",28452,28452,29013
310M200US25720,25720,"Heber, UT Micro Area",23530,23530,27714
310M200US25740,25740,"Helena, MT Micro Area",74801,74801,77414
310M200US25760,25760,"Helena-West Helena, AR Micro Area",21757,21757,19930
310M200US25780,25780,"Henderson, NC Micro Area",45422,45419,44614
310M200US25820,25820,"Hereford, TX Micro Area",19372,19372,19195
310M200US25840,25840,"Hermiston-Pendleton, OR Micro Area",87062,87062,87892
310M200US25860,25860,"Hickory-Lenoir-Morganton, NC Metro Area",365497,365492,362896
310M200US25880,25880,"Hillsdale, MI Micro Area",46688,46688,45830
310M200US25900,25900,"Hilo, HI Micro Area",185079,185079,194190
310M200US25940,25940,"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",187010,187010,203022
310M200US25980,25980,"Hinesville, GA Metro Area",77917,77917,82311
310M200US26020,26020,"Hobbs, NM Micro Area",64727,64727,69999
310M200US26090,26090,"Holland, MI Micro Area",111408,111408,113847
310M200US26140,26140,"Homosassa Springs, FL Metro Area",141236,141236,139377
310M200US26220,26220,"Hood River, OR Micro Area",22346,22346,22885
310M200US26300,26300,"Hot Springs, AR Metro Area",96024,96024,97322
310M200US26340,26340,"Houghton, MI Micro Area",38784,38784,38712
310M200US26380,26380,"Houma-Thibodaux, LA Metro Area",208178,208176,211348
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",5920416,5920490,6490180
310M200US26460,26460,"Hudson, NY Micro Area",63096,63096,62122
310M200US26500,26500,"Huntingdon, PA Micro Area",45913,46027,45750
310M200US26540,26540,"Huntington, IN Micro Area",37124,37124,36706
310M200US26580,26580,"Huntington-Ashland, WV-KY-OH Metro Area",364908,364930,363325
310M200US26620,26620,"Huntsville, AL Metro Area",417593,417593,441086
310M200US26660,26660,"Huntsville, TX Micro Area",82446,82536,84013
310M200US26700,26700,"Huron, SD Micro Area",17398,17398,18169
